City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,west bay,19.37,-81.42,25.56,86,0,4.47,KY,1584253462
302,beyneu,45.32,55.2,13.97,69,100,2.24,KZ,1584253463
303,havre-saint-pierre,50.23,-63.6,-6.0,79,75,7.2,CA,1584253463
304,tasiilaq,65.61,-37.64,-18.0,64,41,1.5,GL,1584253412
305,beidao,34.57,105.89,15.95,20,100,3.07,CN,1584253463
306,caxito,-8.58,13.66,27.0,88,75,1.5,AO,1584253463
307,timmins,48.47,-81.33,-16.0,84,20,2.1,CA,1584253433
308,the valley,18.22,-63.06,24.0,83,75,4.1,AI,1584253361
309,mugango,-1.68,33.7,22.0,88,20,5.13,TZ,1584253464
310,smithers,54.78,-127.17,-10.0,47,1,1.0,CA,1584253364
311,hoegaarden,50.78,4.89,8.89,87,81,5.1,BE,1584253464
312,storsteinnes,69.24,19.23,0.0,93,75,7.2,NO,1584253465
313,deputatskiy,69.3,139.9,-31.58,94,0,0.91,RU,1584253465
314,nemuro,43.32,145.57,-1.0,74,75,4.6,JP,1584253465
315,hambantota,6.12,81.12,34.0,56,40,5.7,LK,1584253419
316,broken hill,-31.95,141.43,24.0,29,42,7.2,AU,1584253465
317,nangomba,-10.9,38.5,26.76,85,93,0.37,TZ,1584253466
318,san francisco del mar,16.23,-94.65,28.06,72,0,1.54,MX,1584253466
319,trinidad,-14.83,-64.9,24.95,88,75,0.79,BO,1584253466
320,cairns,-16.92,145.77,30.0,48,68,4.1,AU,1584253229
321,iqaluit,63.75,-68.51,-31.67,60,20,5.1,CA,1584253406
322,matara,5.95,80.54,34.7,42,9,2.86,LK,1584253403
323,kruisfontein,-34.0,24.73,18.92,83,31,6.76,ZA,1584253467
324,manacapuru,-3.3,-60.62,23.0,100,75,1.0,BR,1584253467
325,ingham,42.6,-84.38,0.0,80,90,2.1,US,1584253467
326,umm kaddadah,13.6,26.69,20.69,23,42,7.94,SD,1584253467
327,sarahan,31.52,77.8,-1.99,60,4,2.08,IN,1584253467
328,tema,5.67,-0.02,26.0,88,100,3.6,GH,1584253210
329,ancud,-41.87,-73.82,7.0,100,8,3.1,CL,1584253468
330,sarny,51.34,26.6,-1.64,52,0,5.49,UA,1584253468
331,tuatapere,-46.13,167.68,15.56,84,100,4.92,NZ,1584253403
332,jalu,29.03,21.55,17.78,36,24,3.06,LY,1584253468
333,peoria,40.77,-89.77,1.11,80,90,4.6,US,1584253469
334,vila franca do campo,37.72,-25.43,13.0,82,20,2.1,PT,1584253469
335,santa lucia,27.91,-15.54,17.0,67,40,6.2,ES,1584253469
336,chumikan,54.72,135.31,-8.98,75,0,5.33,RU,1584253469
337,monrovia,6.3,-10.8,26.69,90,31,2.29,LR,1584253470
